Subject ,Condition,Age,Gender,Date,Time,Experiment
845,2,19,F,10/3/2017,12:15 PM,1
846,3,18,F,10/4/2017,10:00 AM,1
847,1,18,F,10/4/2017,11:30 AM,1
848,2,19,F,10/5/2017,10:00 AM,1
849,3,18,M,10/5/2017,12:15 PM,1
850,1,19,F,10/5/2017,4:00 PM,1
851,2,20,F,10/6/2017,12:15 PM,1
852,3,23,F,10/6/2017,1:15 PM,1
853,1,18,F,10/6/2017,2:15 PM,1
854,2,19,M,10/6/2017,4:15 PM,1
855,3,21,M,10/9/2017,10:00 AM,1
856,1,20,F,10/9/2017,1:00 PM,1
857,2,19,M,10/9/2017,1:45 PM,1
858,3,18,F,10/9/2017,2:45 PM,1
859,1,20,F,10/9/2017,3:45 PM,1
860,1,18,F,10/10/2017,10:00 AM,1
861,3,18,M,10/10/2017,11:00 AM,1
862,1,18,F,10/10/2017,12:15 PM,1
863,2,18,F,10/10/2017,3:00 PM,1
864,3,18,F,10/10/2017,4:00 PM,1
865,1,18,M,10/11/2017,11:00 AM,1
866,2,19,M,10/11/2017,1:00 PM,1
867,3,20,F,10/11/2017,3:00 PM,1
868,1,18,F,10/11/2017,4:00 PM,1
869,2,18,F,10/12/2017,10:00 AM,1
870,3,18,F,10/12/2017,11:00 AM,1
871,1,18,M,10/12/2017,12:00 PM,1
872,2,19,F,10/12/2017,1:00 PM,1
873,3,19,F,10/12/2017,2:00 PM,1
874,1,18,F,10/12/2017,3:00 PM,1
875,2,18,M,10/12/2017,4:00 PM,1
876,3,18,F,10/13/2017,12:00 PM,1
877,1,18,M,10/13/2017,1:00 PM,1
878,2,19,F,10/13/2017,2:00 PM,1
879,3,21,F,10/13/2017,3:00 PM,1
880,1,19,F,10/13/2017,4:00 PM,1
881,2,26,M,10/16/2017,11:00 AM,1
882,3,18,M,10/16/2017,12:00 PM,1
883,1,20,M,10/16/2017,1:00 PM,1
884,2,18,M,10/16/2017,3:00 PM,1
885,3,18,F,10/17/2017,10:00 AM,1
886,2,18,F,10/17/2017,11:00 AM,1
887,1,21,M,10/17/2017,12:00 PM,1
888,2,19,F,10/17/2017,1:00 PM,1
889,3,18,F,10/17/2017,2:00 PM,1
890,1,18,F,10/17/2017,3:00 PM,1
891,2,18,F,10/17/2017,4:00 PM,1
892,3,18,F,10/18/2017,10:00 AM,1
893,1,18,F,10/18/2017,11:00 AM,1
894,2,22,M,10/18/2017,1:00 PM,1
895,3,20,F,10/18/2017,4:00 PM,1
896,1,18,M,10/19/2017,10:00 AM,1
897,2,20,M,10/19/2017,11:00 AM,1
898,3,20,F,10/19/2017,12:00 PM,1
899,1,18,M,10/19/2017,1:00 PM,1
900,2,18,F,10/19/2017,3:00 PM,1
